date,product,ticker,close,strike,level_pct,barrier_px,buf_barrier,ki_px,buf_ki
2026-01-09,B,MU,345.089996,345.09,1.0,276.072,0.25,86.2725,3.0
2026-01-09,B,PLTR,177.490005,177.49,1.0,141.992,0.25,44.3725,3.0
2026-01-12,B,MU,345.869995,345.09,1.00226,276.072,0.252825,86.2725,3.009041
2026-01-12,B,PLTR,179.410004,177.49,1.010818,141.992,0.263522,44.3725,3.04327
2026-01-13,B,MU,338.130005,345.09,0.979831,276.072,0.224789,86.2725,2.919325
2026-01-13,B,PLTR,178.960007,177.49,1.008282,141.992,0.260353,44.3725,3.033129
2026-01-14,B,MU,333.350006,345.09,0.96598,276.072,0.207475,86.2725,2.86392
2026-01-14,B,PLTR,178.399994,177.49,1.005127,141.992,0.256409,44.3725,3.020508
2026-01-15,B,MU,336.630005,345.09,0.975485,276.072,0.219356,86.2725,2.901939
2026-01-15,B,PLTR,177.070007,177.49,0.997634,141.992,0.247042,44.3725,2.990535
2026-01-16,B,MU,362.75,345.09,1.051175,276.072,0.313969,86.2725,3.2047
2026-01-16,B,PLTR,170.960007,177.49,0.963209,141.992,0.204012,44.3725,2.852837
2026-01-20,B,MU,365.0,345.09,1.057695,276.072,0.322119,86.2725,3.23078
2026-01-20,B,PLTR,168.529999,177.49,0.949518,141.992,0.186898,44.3725,2.798073
2026-01-21,B,MU,389.109985,345.09,1.127561,276.072,0.409451,86.2725,3.510244
2026-01-21,B,PLTR,165.330002,177.49,0.931489,141.992,0.164361,44.3725,2.725956
2026-01-22,B,MU,397.579987,345.09,1.152105,276.072,0.440132,86.2725,3.608421
2026-01-22,B,PLTR,165.899994,177.49,0.934701,141.992,0.168376,44.3725,2.738802
2026-01-23,B,MU,399.649994,345.09,1.158104,276.072,0.44763,86.2725,3.632415
2026-01-23,B,PLTR,169.600006,177.49,0.955547,141.992,0.194434,44.3725,2.822187
2026-01-26,B,MU,389.089996,345.09,1.127503,276.072,0.409379,86.2725,3.510012
2026-01-26,B,PLTR,167.470001,177.49,0.943546,141.992,0.179433,44.3725,2.774184
2026-01-27,B,MU,410.23999,345.09,1.188791,276.072,0.485989,86.2725,3.755165
2026-01-27,B,PLTR,165.699997,177.49,0.933574,141.992,0.166967,44.3725,2.734295
2026-01-28,B,MU,435.279999,345.09,1.261352,276.072,0.57669,86.2725,4.045408
2026-01-28,B,PLTR,157.350006,177.49,0.886529,141.992,0.108161,44.3725,2.546115
2026-01-29,B,MU,435.790009,345.09,1.26283,276.072,0.578538,86.2725,4.05132
2026-01-29,B,PLTR,151.860001,177.49,0.855598,141.992,0.069497,44.3725,2.42239
2026-01-30,B,MU,414.880005,345.09,1.202237,276.072,0.502796,86.2725,3.808948
2026-01-30,B,PLTR,146.589996,177.49,0.825906,141.992,0.032382,44.3725,2.303623
2026-02-02,B,MU,437.799988,345.09,1.268655,276.072,0.585818,86.2725,4.074618
2026-02-02,B,PLTR,147.759995,177.49,0.832498,141.992,0.040622,44.3725,2.32999
2026-02-03,B,MU,419.440002,345.09,1.215451,276.072,0.519314,86.2725,3.861804
2026-02-03,B,PLTR,157.880005,177.49,0.889515,141.992,0.111894,44.3725,2.55806
2026-02-04,B,MU,379.399994,345.09,1.099423,276.072,0.374279,86.2725,3.397693
2026-02-04,B,PLTR,139.539993,177.49,0.786185,141.992,-0.017269,44.3725,2.14474
2026-02-05,B,MU,382.890015,345.09,1.109537,276.072,0.386921,86.2725,3.438147
2026-02-05,B,PLTR,130.009995,177.49,0.732492,141.992,-0.084385,44.3725,1.929968
